size_w,size_h,aspect_ratio,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,contrast,brightness,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,corners,lines,faces,blink,has_text,filesize,sharpness,blur_metric,gaussian_blur,gibson_blur,gradient,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,filename
3120,4160,1.3333333333333333,99.1942538831361,108.06931521203155,120.04868859405819,82.0,103.0,123.0,68.98987011438706,67.8698808508434,69.13898316707561,66.04800817163064,110.64385593873274,0.00390625,0.00402833,0.002854417,0.031105821922841632,0.037370975586188696,0.015468141264019497,1622400,53.283922814965486,20.0,54.84331180853927,87.40889577169625,80.0,62.51587361224412,129.1663101732002,133.0,66.88116391847096,7911,5007417.5,632.9689672607761,24638.07773022416,21401,2.7052205789407155,2.67439566286639,123.24588877221436,29.673762944809894,100,36573,2,2,6038605.5,3642323,55.98538107125246,55.98538106566715,57769334,111611793.63972369,2227.355545796351,0.0023771710145820343,68.6662447107687,2227.355545796351,17216681590237436112,10996010607680500017,15771870404629247110,816043786240,2015-02-14 10-45-14.JPG
3120,4160,1.3333333333333333,137.04813771264793,148.3614638806706,163.1866083425789,143.0,158.0,171.0,74.53480898961566,72.61622197954986,67.33725871491474,69.53685290271008,151.51113196499014,0.00390625,0.0028318001,0.0069242693,0.028794975434162436,0.03649901060001084,0.017332710709607,1622400,46.856507257766275,18.0,57.13307654844083,67.96730568910256,50.0,63.49928882197912,167.8386940643491,174.0,63.60984855367028,3790,8815461.0,2325.9791556728233,98376.74300954635,11867,3.1311345646437996,2.887504977042714,125.31467504942209,27.80397510306416,100,63536,2,1,7856743.5,3714305,80.34473719489645,80.34473716556184,80348990,113437212.78407148,3025.260474913708,0.013046966570780277,71.49609656136009,3025.260474913708,4602507036645934081,7401321353083390159,13009926917892542061,532575977472,2015-02-14 10-45-01.JPG
3120,4160,1.3333333333333333,55.88679394723866,76.70221531373274,126.69721053685898,20.0,32.0,122.0,64.54002580440739,75.53097651936693,59.980210530522974,65.2314935624546,89.2859267905572,0.0039062505,0.0019077063,0.0029772166,0.03288739120092162,0.037780330682933884,0.012977178893105071,1622400,18.196064241247534,3.0,28.269192546347174,175.50065843811637,214.0,73.27772572059621,133.0907636063856,126.0,55.08978583926656,1673,3629811.0,2169.6419605499104,48782.706966953265,4674,2.7937836222355052,2.8157034827220038,121.03368078968066,44.23862548500899,100,768,1,0,3892475.0,3330031,19.011523822731757,19.011523796901276,22254065,106216559.19867639,473.43331900271204,0.001178615522586425,66.6837376180991,473.43331900271204,504464972462243196,13754952463234488793,10030700250317428118,77309607936,2015-02-20 20-33-37.JPG
3120,4160,1.3333333333333333,87.7138350591716,91.76359336476824,106.99083502835306,73.0,88.0,118.0,81.44568196616054,79.65950800558839,73.70911561883524,76.8601599287349,95.86797784146943,0.00390625,0.001706384,0.0038430784,0.03275044565764766,0.03759789599246166,0.013033422178667773,1622400,55.1980289232002,20.0,54.67011421851992,88.27385016025642,29.0,90.86049004803445,110.03934610761834,121.0,75.75843433188288,3188,5305233.5,1664.1259410288583,28084.807890809985,9199,2.885508155583438,2.9158638095047684,128.56107029148004,12.070091564226965,100,2486,2,0,6462002.0,3440215,31.013481801651874,31.013481786776595,31529578,109279065.224086,644.1798186328896,0.0021899713955415706,78.27143519686139,644.1798186328896,18444461366778577088,7009085455434187522,16692255613817258303,1357209698305,2015-02-14 11-22-04.JPG
4160,3120,0.75,105.29230430226825,121.25310874321993,124.41767219859467,85.0,119.0,119.0,80.00732390454074,62.50149623889894,62.619988561457326,51.7931981837338,120.38261464497042,0.00390625,0.0038250815,0.0024670032,0.033763322537704504,0.03743408265566794,0.010489902321005981,1622400,48.70976131040434,31.0,44.995398177976256,150.53987102440828,155.0,58.502608755634796,162.14847787228797,176.0,59.334346019806006,10778,6088648.5,564.9145017628503,50874.50488048391,30956,2.8721469660419374,2.93186400547424,126.03008140682076,59.62020182033279,100,9190,0,0,7146140.0,3926478,41.84489837586292,41.844898359799544,44524080,110898160.74022615,720.9714285934418,0.0005419830616286292,68.376269568299,720.9714285934418,18791814627199,15921904382688156888,10406774148864711627,78399963200,2015-02-07 14-48-29.JPG
794,1320,1.6624685138539044,246.07321292267767,246.0342435691932,245.9378721089993,255.0,255.0,255.0,41.8386381761155,41.825043200756895,42.24717572206285,41.89475604214234,246.00949545836195,0.0039062498,1.0495382e-05,0.058422983,0.0040429675252240576,0.0,0.014049291951240035,130680,1.0808879093198993,0.0,9.997757914332306,1.009307495611022,0.0,11.79130798908125,246.30776562857798,255.0,41.107530778516605,1,1045967.0,1045967.0,0.0,4,4.0,0.0,246.01510953362336,0.05688507390444154,100,485,0,0,1045967.0,84520,2383.016456759026,2383.016456759026,10903993,9615081.760387246,38689.325875887334,0.851883352056264,41.97028569964508,38689.325875887334,4548355865039572991,17652249321529178176,11457369240902528558,532575944896,2022-01-23_21-52-14.png
3120,4160,1.3333333333333333,64.72384946683925,79.47102510170119,119.53972648545366,30.0,40.0,124.0,67.11622516448384,75.41377110283018,68.2738929432215,65.48564677493157,89.76852826060158,0.0039062498,0.0021695867,0.0030196079,0.0332922777403419,0.03746463262902832,0.011900339432746002,1622400,27.16105684479783,8.0,39.80660700430381,172.3558590668146,206.0,74.51887665044137,133.2189531712278,129.0,57.07497715524731,2035,3220189.0,1582.402457002457,46060.04226948,6281,3.0864864864864865,2.9317191356117704,121.66604114099694,46.77380447138983,100,10265,0,0,3318298.5,3745929,34.98224921412722,34.982249087807546,40383311,109709519.30417693,894.7125711908284,0.0007576194672986988,70.2679630701785,894.7125711908284,9262084338433,2376310541077865195,9751257071736404682,627065455104,2015-02-20 20-34-01.JPG
738,2318,3.140921409214092,241.89458310243154,242.5640691091984,240.2356513534937,255.0,255.0,255.0,26.76109843234363,26.510401277252182,38.51896287072624,28.784728992865514,241.8012409071459,0.00390625,1.6367721e-05,0.039177675,0.02141348740422708,0.0,0.028132944315357074,212704,32.33915498128234,0.0,48.75702448382143,8.327941922646147,0.0,33.804418589517766,245.18251705165886,255.0,21.71747508500843,1,1707629.0,1707629.0,0.0,4,4.0,0.0,241.5647678550412,0.9787631256943997,100,264,0,0,1707629.0,197197,493.0011995201919,493.0011980981226,10589664,14763101.064157229,7991.537461038976,0.2560004372363863,30.596820860107353,7991.537461038976,18320430107801741056,3774122748826618956,12073574389660141603,481053118848,2022-01-05_22-09-00.png
3120,4160,1.3333333333333333,122.0544287013067,134.07960344243097,147.74724513067062,122.0,137.0,153.0,70.64321876178943,69.14087666220018,66.52432212176639,66.7328717556847,136.795915772929,0.00390625,0.0029453663,0.0047374438,0.030572802500111095,0.03706230268680931,0.015528946349433942,1622400,47.224825027736685,18.0,56.596105305370756,75.23167406311637,61.0,64.0487467323444,153.3111469890286,155.0,61.985353675455166,3990,7490773.5,1877.3868421052632,76726.8130093481,12136,3.0416040100250625,2.9147921825152627,122.80809874439691,34.15935353144777,100,40434,1,1,7017815.0,3685024,44.05775425295858,44.0577542509061,52648738,110564312.39588515,1586.255711446006,0.005723743919164877,68.769472515252,1586.255711446006,18437710226427494913,12445280366461770339,13160799708717077039,532575977472,2015-02-14 10-45-06.JPG
4160,3120,0.75,96.40510108481263,126.35363466161243,164.05516272189348,74.0,112.0,159.0,75.15234481833701,72.14395329413763,62.792209989489926,68.42413307420155,134.22757858727812,0.00390625,0.004205036,0.0064172465,0.029924454782489694,0.036994650750353235,0.015523305426527292,1622400,14.250637327416174,12.0,11.243136914387728,121.28419347879685,125.0,65.17633283374697,164.66387866740632,161.0,62.676666765331824,4404,6274437.0,1424.7132152588556,48819.574572343074,11898,2.7016348773841963,2.609802498299019,121.99262102716861,37.297283751286486,100,3528,2,1,4791817.5,3235380,24.843006887943787,24.843006876948113,31256851,107421818.94498007,715.6623559233235,0.008617479667043031,70.02950270065485,715.6623559233235,16710587461528503424,10127643514142229540,17646130894571047362,188978659328,2015-02-23 16-00-29.JPG
3120,4160,1.3333333333333333,107.30261348927515,115.3059904308432,138.10757982001974,82.0,107.0,158.0,92.02311160041425,91.58683343475292,83.03691555373513,87.063836572939,121.21598896696253,0.0039062498,0.002370408,0.0041877646,0.03131608685382157,0.03735373375593226,0.014108245644403671,1622400,50.831748027613415,19.0,53.98356837536854,92.15231424124754,77.0,83.16402911843863,141.5383676960059,161.0,83.94668606391751,2380,6182684.0,2597.766386554622,75039.24885254967,6115,2.569327731092437,2.53111402420292,125.13360904387658,33.992880181815046,100,5207,2,1,6327975.0,3425043,32.625426528599604,32.62542646078268,33669311,109596016.674595,771.0375825936884,0.004717671997201037,88.88228686296743,771.0375825936884,17863461692525043936,3243741919840519042,16552635504992819329,807453917185,2015-02-14 11-21-47.JPG
3120,4160,1.3333333333333333,94.13604613535503,113.18220753205128,131.6872292591223,95.0,125.0,150.0,69.06460308097697,74.07820018006672,76.31541867829928,72.97998780410816,116.55287059294872,0.00390625,0.0023512621,0.001819144,0.03244423396544524,0.03767622242942982,0.013916661127900541,1622400,39.11286042283037,18.0,41.61062199275055,90.95433223927515,89.0,56.24992989003849,134.30988697300296,151.0,76.21717334519978,5181,6737885.5,1300.4990349353407,86554.80644964335,15065,2.907739818567844,2.808083144494758,123.81311870287811,23.935884245590678,100,40991,0,0,7595264.5,3578418,49.68617256841716,49.68617253234788,54897669,111405563.03558476,1713.314812623274,0.0006752465451953236,73.15274064644767,1713.314812623274,8002631607479384889,16041536792942801907,11093109101667005770,738734407680,2015-02-16 19-57-59.JPG
3120,4160,1.3333333333333333,70.27131895648422,98.33159925110947,155.21476739706608,55.0,89.0,165.0,56.86527478530935,70.33530627192651,66.42142358849067,66.31418961427093,112.15895579080374,0.0039062498,0.0040258644,0.0018984784,0.03283517368882752,0.03757148796312894,0.012839609012301715,1622400,34.913766564965485,13.0,58.82276426756144,157.4805980337771,165.0,51.5365732036009,155.22434472078402,165.0,66.42449056576184,3290,5571316.0,1693.4091185410334,71760.79035934895,9221,2.8027355623100303,2.689559651415554,123.01152424088761,46.40032159371538,100,11245,1,0,6219924.5,3475260,31.630337848249507,31.630337807718956,38447213,108706779.3212145,1021.3949952231262,0.0006223751610379776,64.54066821524218,1021.3949952231262,17651992278130016384,14231889131060564772,16177597207198867374,601295486976,2015-02-13 18-43-41.JPG
3120,4160,1.3333333333333333,105.99960767998027,114.78158615322978,141.3126028568787,74.0,100.0,163.0,93.7272352076661,94.39539986518147,86.4225202768868,89.69515243415294,121.71520448101577,0.0039062498,0.0025880255,0.0046351072,0.031097394074673212,0.03731252839482289,0.01428742741840422,1622400,47.574652135724854,17.0,54.69771446850508,95.8494929579635,85.0,83.68981019189769,143.7265128821499,166.0,87.02247247118011,2041,6114721.5,2995.9439000489956,97332.65945282142,5148,2.522292993630573,2.545156669771897,125.06699831911125,37.422300764600315,100,1276,1,0,6188547.5,3360471,29.88065905448718,29.880659027302062,30003942,109039500.50932458,639.6033995931953,0.005680086273758658,91.5150517832448,639.6033995931953,17574140807533879536,2542024719146894210,17124309052371737602,807453884417,2015-02-14 11-21-46.JPG
